best_fitness:21719.697182487118|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3210176.0179659845|mean:10700.586726553282
best_fitness:21719.697182487118|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3203702.629594118|mean:10679.008765313727
best_fitness:22086.42077270815|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3202376.874066944|mean:10674.589580223146
best_fitness:22086.42077270815|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3198882.549257593|mean:10662.941830858645
best_fitness:22209.89781868601|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3217196.563426028|mean:10723.988544753427
best_fitness:22209.89781868601|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3202004.115113792|mean:10673.347050379307
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3253557.9210317833|mean:10845.193070105945
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3235629.7268341784|mean:10785.432422780596
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3242507.3334110575|mean:10808.357778036858
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3268870.484699288|mean:10896.234948997626
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3255476.0425666915|mean:10851.586808555638
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3239292.2203050777|mean:10797.64073435026
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3205586.321376575|mean:10685.287737921917
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3221655.9551684274|mean:10738.853183894758
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3203802.6385650123|mean:10679.34212855004
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3252958.529930597|mean:10843.195099768658
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3259370.12846059|mean:10864.567094868633
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3246087.9516609954|mean:10820.293172203317
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3258019.2816240275|mean:10860.064272080092
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3243094.271092995|mean:10810.31423697665
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3246244.1466787634|mean:10820.813822262544
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3243026.4967044154|mean:10810.08832234805
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3257316.4553980296|mean:10857.721517993432
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3224316.0849596644|mean:10747.720283198882
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3218369.4931308646|mean:10727.898310436216
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3228607.0590169383|mean:10762.023530056462
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3210892.321540983|mean:10702.97440513661
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3173666.4913599053|mean:10578.888304533019
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3244056.245045361|mean:10813.52081681787
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3249995.051936075|mean:10833.316839786918
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3235275.282491193|mean:10784.25094163731
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3258449.3487349367|mean:10861.497829116455
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3291597.120969531|mean:10971.99040323177
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3300292.0437600547|mean:11000.973479200182
