best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[12.05 CR]~[6.48 ER]~[9.91 HP%]~[7.29 DEF%]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:3220329.074148481|mean:10734.430247161603
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[12.05 CR]~[6.48 ER]~[9.91 HP%]~[7.29 DEF%]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:3210104.9487724677|mean:10700.349829241559
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[12.05 CR]~[6.48 ER]~[9.91 HP%]~[7.29 DEF%]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:3194623.8008405063|mean:10648.746002801689
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[13.85 DEF%]~[10.50 ATK%]~[11.66 HP%]~[13.21 CD]-[311.00 ATK]~[6.99 CD]~[37.30 EM]~[10.49 HP%]~[13.41 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[58.30 Physical]~[11.66 CD]~[13.62 ATK]~[11.66 ER]~[57.87 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:3241161.457289505|mean:10803.871524298349
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[13.85 DEF%]~[10.50 ATK%]~[11.66 HP%]~[13.21 CD]-[311.00 ATK]~[6.99 CD]~[37.30 EM]~[10.49 HP%]~[13.41 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[58.30 Physical]~[11.66 CD]~[13.62 ATK]~[11.66 ER]~[57.87 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:3227373.9744882993|mean:10757.913248294331
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[13.85 DEF%]~[10.50 ATK%]~[11.66 HP%]~[13.21 CD]-[311.00 ATK]~[6.99 CD]~[37.30 EM]~[10.49 HP%]~[13.41 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[58.30 Physical]~[11.66 CD]~[13.62 ATK]~[11.66 ER]~[57.87 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:3258456.707176945|mean:10861.522357256485
best_fitness:20715.215101537462|best_individual:[[4780.00 HP]~[13.85 DEF%]~[10.50 ATK%]~[11.66 HP%]~[13.21 CD]-[311.00 ATK]~[6.99 CD]~[37.30 EM]~[10.49 HP%]~[13.41 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[58.30 Physical]~[11.66 CD]~[13.62 ATK]~[11.66 ER]~[57.87 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:3278363.1381545924|mean:10927.877127181975
best_fitness:21448.72727123967|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3282171.912193786|mean:10940.573040645953
best_fitness:21686.56069762807|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3278834.1255508047|mean:10929.44708516935
best_fitness:21686.56069762807|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3278774.5695504425|mean:10929.248565168142
best_fitness:21686.56069762807|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3260084.9620890766|mean:10866.949873630256
best_fitness:21945.071497410303|best_individual:[[4780.00 HP]~[18.65 EM]~[13.22 CR]~[35.02 ATK]~[4.66 HP%]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3241776.5751691614|mean:10805.921917230538
best_fitness:21945.071497410303|best_individual:[[4780.00 HP]~[18.65 EM]~[13.22 CR]~[35.02 ATK]~[4.66 HP%]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3276997.5292957714|mean:10923.32509765257
best_fitness:21945.071497410303|best_individual:[[4780.00 HP]~[18.65 EM]~[13.22 CR]~[35.02 ATK]~[4.66 HP%]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3268234.812317283|mean:10894.11604105761
best_fitness:22765.97317799902|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3264989.834641706|mean:10883.299448805687
best_fitness:22765.97317799902|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[4.08 ATK%]~[15.16 CR]~[5.83 HP%]~[23.31 EM]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3313532.5412865737|mean:11045.108470955245
best_fitness:22937.709094428625|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3328825.0599165936|mean:11096.083533055313
best_fitness:23390.96995304902|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3325109.554707235|mean:11083.698515690783
best_fitness:23390.96995304902|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3266350.041421373|mean:10887.833471404576
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3243111.4288395722|mean:10810.37142946524
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3245376.297990179|mean:10817.920993300597
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3255703.1099486873|mean:10852.343699828958
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3248623.9848935762|mean:10828.74661631192
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3216563.2478392427|mean:10721.877492797475
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3231024.9525432335|mean:10770.083175144111
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3228657.5209973445|mean:10762.191736657815
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3263401.358623882|mean:10878.004528746273
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3254582.3156451536|mean:10848.607718817178
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3254366.6438269024|mean:10847.88881275634
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3282210.7051388985|mean:10940.702350462994
best_fitness:23690.24306440688|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3259988.107449759|mean:10866.627024832529
