best_fitness:20971.7008139589|best_individual:[[4780.00 HP]~[16.20 DEF]~[48.63 ATK]~[6.56 DEF%]~[15.74 ATK%]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[51.80 ER]~[7.77 CD]~[4.08 ATK%]~[7.39 CR]~[24.78 DEF%]-[46.60 Cryo]~[23.15 DEF]~[35.02 ATK]~[10.50 CR]~[44.29 EM]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:3271343.2378070382|mean:10904.477459356794
best_fitness:20971.7008139589|best_individual:[[4780.00 HP]~[16.20 DEF]~[48.63 ATK]~[6.56 DEF%]~[15.74 ATK%]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[51.80 ER]~[7.77 CD]~[4.08 ATK%]~[7.39 CR]~[24.78 DEF%]-[46.60 Cryo]~[23.15 DEF]~[35.02 ATK]~[10.50 CR]~[44.29 EM]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:3274397.9132001605|mean:10914.659710667202
best_fitness:20971.7008139589|best_individual:[[4780.00 HP]~[16.20 DEF]~[48.63 ATK]~[6.56 DEF%]~[15.74 ATK%]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[51.80 ER]~[7.77 CD]~[4.08 ATK%]~[7.39 CR]~[24.78 DEF%]-[46.60 Cryo]~[23.15 DEF]~[35.02 ATK]~[10.50 CR]~[44.29 EM]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:3269622.683651706|mean:10898.742278839021
best_fitness:20971.7008139589|best_individual:[[4780.00 HP]~[16.20 DEF]~[48.63 ATK]~[6.56 DEF%]~[15.74 ATK%]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[51.80 ER]~[7.77 CD]~[4.08 ATK%]~[7.39 CR]~[24.78 DEF%]-[46.60 Cryo]~[23.15 DEF]~[35.02 ATK]~[10.50 CR]~[44.29 EM]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:3274426.0352792554|mean:10914.753450930852
best_fitness:20971.7008139589|best_individual:[[4780.00 HP]~[16.20 DEF]~[48.63 ATK]~[6.56 DEF%]~[15.74 ATK%]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[51.80 ER]~[7.77 CD]~[4.08 ATK%]~[7.39 CR]~[24.78 DEF%]-[46.60 Cryo]~[23.15 DEF]~[35.02 ATK]~[10.50 CR]~[44.29 EM]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:3239239.457206866|mean:10797.464857356219
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[17.51 ATK]~[13.22 CR]~[39.35 DEF]~[18.65 EM]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3245640.3405583445|mean:10818.801135194482
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[17.51 ATK]~[13.22 CR]~[39.35 DEF]~[18.65 EM]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3239050.5691258386|mean:10796.835230419461
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[17.51 ATK]~[13.22 CR]~[39.35 DEF]~[18.65 EM]-[311.00 ATK]~[17.88 CD]~[7.00 CR]~[41.96 EM]~[5.83 DEF%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3219977.7297544973|mean:10733.259099181658
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[20.98 CD]~[33.07 ATK]~[9.91 ATK%]~[23.31 EM]-[311.00 ATK]~[11.66 ER]~[83.92 EM]~[5.25 ATK%]~[4.66 HP%]-[187.00 EM]~[9.33 HP%]~[37.03 DEF]~[10.11 CR]~[5.25 ATK%]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:3227394.6182995085|mean:10757.982060998362
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[20.98 CD]~[33.07 ATK]~[9.91 ATK%]~[23.31 EM]-[311.00 ATK]~[11.66 ER]~[83.92 EM]~[5.25 ATK%]~[4.66 HP%]-[187.00 EM]~[9.33 HP%]~[37.03 DEF]~[10.11 CR]~[5.25 ATK%]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:3210996.3367798487|mean:10703.321122599496
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[20.98 CD]~[33.07 ATK]~[9.91 ATK%]~[23.31 EM]-[311.00 ATK]~[11.66 ER]~[83.92 EM]~[5.25 ATK%]~[4.66 HP%]-[187.00 EM]~[9.33 HP%]~[37.03 DEF]~[10.11 CR]~[5.25 ATK%]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:3228959.9125905447|mean:10763.19970863515
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[41.67 DEF]~[6.61 CR]~[10.88 CD]~[8.74 HP%]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[58.30 DEF%]~[5.83 ATK%]~[20.83 DEF]~[10.50 CR]~[60.61 EM]-[46.60 ATK%]~[3.50 CR]~[18.65 EM]~[19.24 HP%]~[37.03 DEF]]|sum:3244761.70007962|mean:10815.872333598732
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3236661.7272288315|mean:10788.872424096106
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3255454.189473994|mean:10851.513964913314
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3261577.53292205|mean:10871.925109740167
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3230698.1402759757|mean:10768.99380091992
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3240207.3355888543|mean:10800.691118629515
best_fitness:22170.636951844233|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[12.44 CD]~[20.40 ATK%]~[13.62 ATK]~[16.32 EM]-[31.10 CR]~[32.64 EM]~[4.08 HP%]~[85.65 DEF]~[5.83 ER]]|sum:3244922.223302426|mean:10816.407411008086
