best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5772654.142790625|mean:19242.18047596875
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5817874.634625001|mean:19392.91544875
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5830414.7230875|mean:19434.715743624998
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5868178.843340625|mean:19560.59614446875
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5917657.946175001|mean:19725.52648725
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5913853.080037501|mean:19712.843600125
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5869776.456187502|mean:19565.921520625005
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5869749.83986875|mean:19565.8327995625
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5851077.85854375|mean:19503.5928618125
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5846523.299428126|mean:19488.410998093754
