best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[8.55 CR]~[5.44 CD]~[11.66 DEF%]~[29.18 ATK]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[46.60 Cryo]~[8.16 CR]~[6.99 CD]~[13.99 ATK%]~[16.32 EM]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[4.08 HP%]~[16.19 ER]]|sum:5785530.737568751|mean:19285.102458562502
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[8.55 CR]~[5.44 CD]~[11.66 DEF%]~[29.18 ATK]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[46.60 Cryo]~[8.16 CR]~[6.99 CD]~[13.99 ATK%]~[16.32 EM]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[4.08 HP%]~[16.19 ER]]|sum:5765097.643153126|mean:19216.992143843756
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[8.55 CR]~[5.44 CD]~[11.66 DEF%]~[29.18 ATK]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[46.60 Cryo]~[8.16 CR]~[6.99 CD]~[13.99 ATK%]~[16.32 EM]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[4.08 HP%]~[16.19 ER]]|sum:5723004.568771875|mean:19076.68189590625
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[15.74 HP%]~[7.39 CR]~[37.03 DEF]~[5.44 CD]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[13.12 DEF%]~[5.25 ATK%]~[12.44 CR]~[18.52 DEF]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5734422.969515625|mean:19114.743231718752
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.56 DEF%]~[9.33 ATK%]~[13.99 HP%]~[44.29 EM]-[311.00 ATK]~[24.05 DEF%]~[4.66 ATK%]~[9.91 HP%]~[2.72 CR]-[51.80 ER]~[67.13 DEF]~[3.11 CR]~[13.98 CD]~[39.63 EM]-[58.30 Physical]~[7.39 CR]~[19.45 ATK]~[16.76 DEF%]~[10.50 HP%]-[187.00 EM]~[13.12 DEF%]~[20.40 ATK%]~[20.83 DEF]~[2.72 CR]]|sum:5730299.974996876|mean:19100.999916656252
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.99 CD]~[10.36 ER]~[44.29 EM]~[10.89 CR]-[311.00 ATK]~[5.83 ATK%]~[21.86 DEF%]~[23.31 EM]~[37.03 DEF]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5743257.686175|mean:19144.19228725
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.99 CD]~[10.36 ER]~[44.29 EM]~[10.89 CR]-[311.00 ATK]~[5.83 ATK%]~[21.86 DEF%]~[23.31 EM]~[37.03 DEF]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5767279.5475687515|mean:19224.265158562506
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.99 CD]~[10.36 ER]~[44.29 EM]~[10.89 CR]-[311.00 ATK]~[5.83 ATK%]~[21.86 DEF%]~[23.31 EM]~[37.03 DEF]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5771373.39088125|mean:19237.9113029375
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.99 CD]~[10.36 ER]~[44.29 EM]~[10.89 CR]-[311.00 ATK]~[5.83 ATK%]~[21.86 DEF%]~[23.31 EM]~[37.03 DEF]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5757191.962762501|mean:19190.639875875004
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[6.99 CD]~[10.36 ER]~[44.29 EM]~[10.89 CR]-[311.00 ATK]~[5.83 ATK%]~[21.86 DEF%]~[23.31 EM]~[37.03 DEF]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5727301.203084376|mean:19091.004010281253
