best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5793757.714950001|mean:19312.525716500004
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[11.66 ATK%]~[15.56 ATK]~[39.63 EM]~[13.99 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[9.91 ATK%]~[6.22 CD]~[37.04 DEF]~[58.28 EM]]|sum:5783046.54781875|mean:19276.8218260625
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[11.66 ATK%]~[15.56 ATK]~[39.63 EM]~[13.99 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[9.91 ATK%]~[6.22 CD]~[37.04 DEF]~[58.28 EM]]|sum:5778951.437062501|mean:19263.171456875003
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5780691.003609376|mean:19268.970012031252
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5799034.717003126|mean:19330.11572334375
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5795500.45010625|mean:19318.3348336875
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5793778.627771875|mean:19312.59542590625
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5812339.074046875|mean:19374.46358015625
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5800423.201631251|mean:19334.744005437504
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5802696.361996875|mean:19342.321206656252
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5821890.530146875|mean:19406.301767156252
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5853484.734225001|mean:19511.615780750002
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5849864.281153126|mean:19499.547603843752
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5845591.0945500005|mean:19485.3036485
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5869803.706228126|mean:19566.012354093753
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5872782.832762501|mean:19575.942775875003
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5851673.557106251|mean:19505.5785236875
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5857027.873228125|mean:19523.42624409375
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5831749.341356251|mean:19439.164471187505
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5816715.557315625|mean:19389.05185771875
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5793809.680143751|mean:19312.698933812502
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5766771.9363468755|mean:19222.573121156252
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5818006.448775001|mean:19393.35482925
best_fitness:27124.153331250003|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[7.29 DEF%]~[12.96 ER]~[13.21 CD]~[14.58 HP%]-[58.30 DEF%]~[34.72 DEF]~[18.65 EM]~[12.82 HP%]~[11.08 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5865463.34510625|mean:19551.5444836875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5882810.213990625|mean:19609.36737996875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5857004.425518751|mean:19523.348085062506
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5867805.58115625|mean:19559.3519371875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5828633.964618751|mean:19428.779882062503
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5849065.15786875|mean:19496.883859562502
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5840530.1916562505|mean:19468.4339721875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5788773.492403125|mean:19295.91164134375
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5808310.5040875|mean:19361.035013625
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5868216.232931251|mean:19560.7207764375
