best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5796944.068537501|mean:19323.146895125003
best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5805503.749903126|mean:19351.67916634375
best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5809437.8953031255|mean:19364.792984343752
best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5762335.249500001|mean:19207.784165000005
best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5791230.4321125|mean:19304.101440375
best_fitness:27826.317168750003|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[4.66 ATK%]~[11.66 DEF%]~[48.60 DEF]~[6.22 CR]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Geo]~[53.23 DEF]~[4.66 ATK%]~[12.43 CD]~[10.36 ER]-[31.10 CR]~[17.51 ATK]~[37.03 DEF]~[16.76 DEF%]~[11.01 ER]]|sum:5815921.50380625|mean:19386.4050126875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[17.87 CD]~[34.72 DEF]~[3.11 CR]~[44.29 EM]-[46.60 HP%]~[8.16 ATK%]~[13.62 ATK]~[14.76 CD]~[10.11 CR]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5820196.591575|mean:19400.655305250002
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[17.87 CD]~[34.72 DEF]~[3.11 CR]~[44.29 EM]-[46.60 HP%]~[8.16 ATK%]~[13.62 ATK]~[14.76 CD]~[10.11 CR]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5795794.49705625|mean:19319.3149901875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[17.87 CD]~[34.72 DEF]~[3.11 CR]~[44.29 EM]-[46.60 HP%]~[8.16 ATK%]~[13.62 ATK]~[14.76 CD]~[10.11 CR]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5807683.753153125|mean:19358.94584384375
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[17.87 CD]~[34.72 DEF]~[3.11 CR]~[44.29 EM]-[46.60 HP%]~[8.16 ATK%]~[13.62 ATK]~[14.76 CD]~[10.11 CR]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5816353.068403125|mean:19387.84356134375
