best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5855295.2776218755|mean:19517.65092540625
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5850420.0552375|mean:19501.400184125
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5875518.610096876|mean:19585.062033656253
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5836433.81345625|mean:19454.7793781875
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5873498.304759376|mean:19578.327682531253
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5857956.9094968755|mean:19526.523031656252
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5827644.091050001|mean:19425.480303500004
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5860247.180353126|mean:19534.15726784375
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5888186.710378125|mean:19627.289034593752
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[5.44 CD]~[2.72 CR]~[74.06 DEF]~[13.12 DEF%]-[46.60 HP%]~[39.35 DEF]~[20.98 CD]~[13.62 ATK]~[41.96 EM]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5831258.840625|mean:19437.52946875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[15.74 HP%]~[7.39 CR]~[37.03 DEF]~[5.44 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[5.44 CD]~[2.72 CR]~[74.06 DEF]~[13.12 DEF%]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.06 ER]~[21.75 CD]~[7.29 DEF%]~[29.18 ATK]]|sum:5821554.023831251|mean:19405.180079437505
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5782082.656846876|mean:19273.608856156254
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5830556.043065625|mean:19435.18681021875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5817376.52923125|mean:19391.2550974375
