best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[14.76 CD]~[37.30 EM]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[5.25 HP%]~[9.06 ER]~[13.21 CD]~[17.49 DEF%]-[46.60 HP%]~[3.11 CR]~[15.54 ER]~[32.64 EM]~[8.74 ATK%]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[62.20 CD]~[14.89 ER]~[17.51 ATK]~[41.96 EM]~[41.67 DEF]]|sum:5728702.36215|mean:19095.6745405
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[14.76 CD]~[37.30 EM]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[5.25 HP%]~[9.06 ER]~[13.21 CD]~[17.49 DEF%]-[46.60 HP%]~[3.11 CR]~[15.54 ER]~[32.64 EM]~[8.74 ATK%]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[62.20 CD]~[14.89 ER]~[17.51 ATK]~[41.96 EM]~[41.67 DEF]]|sum:5746776.743746876|mean:19155.922479156252
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[5.83 ER]~[12.82 ATK%]~[13.99 HP%]~[17.51 ATK]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[58.30 Physical]~[6.48 ER]~[12.44 CD]~[48.63 ATK]~[37.03 DEF]-[62.20 CD]~[10.36 ER]~[60.61 EM]~[8.74 ATK%]~[2.72 CR]]|sum:5776402.607681251|mean:19254.675358937504
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[6.61 CR]~[15.54 CD]~[5.18 ER]~[14.57 ATK%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[187.00 EM]~[15.16 HP%]~[34.72 DEF]~[9.33 ATK%]~[19.45 ATK]-[31.10 CR]~[12.31 ER]~[18.52 DEF]~[21.14 DEF%]~[41.96 EM]]|sum:5769759.9349875|mean:19232.533116625
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[55.55 DEF]~[3.50 CR]~[39.63 EM]~[12.43 CD]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[187.00 EM]~[16.32 HP%]~[13.12 DEF%]~[4.53 ER]~[41.66 DEF]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:5752254.635634376|mean:19174.182118781253
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[55.55 DEF]~[3.50 CR]~[39.63 EM]~[12.43 CD]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[187.00 EM]~[16.32 HP%]~[13.12 DEF%]~[4.53 ER]~[41.66 DEF]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:5760236.362650001|mean:19200.787875500006
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[55.55 DEF]~[3.50 CR]~[39.63 EM]~[12.43 CD]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[187.00 EM]~[16.32 HP%]~[13.12 DEF%]~[4.53 ER]~[41.66 DEF]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:5733306.351571876|mean:19111.021171906254
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[55.55 DEF]~[3.50 CR]~[39.63 EM]~[12.43 CD]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[187.00 EM]~[16.32 HP%]~[13.12 DEF%]~[4.53 ER]~[41.66 DEF]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:5746715.272725001|mean:19155.717575750004
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[55.55 DEF]~[3.50 CR]~[39.63 EM]~[12.43 CD]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[187.00 EM]~[16.32 HP%]~[13.12 DEF%]~[4.53 ER]~[41.66 DEF]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:5767059.646078126|mean:19223.53215359375
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5761137.51515625|mean:19203.7917171875
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5812323.231000001|mean:19374.410770000002
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5789035.853259375|mean:19296.786177531252
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5802668.478234375|mean:19342.22826078125
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5791621.438509375|mean:19305.40479503125
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[5.44 CR]~[11.66 CD]~[20.83 DEF]~[19.68 DEF%]-[51.80 ER]~[39.63 EM]~[5.83 HP%]~[11.66 CD]~[62.50 DEF]-[58.30 Physical]~[36.96 ATK]~[10.93 DEF%]~[11.66 ATK%]~[9.33 HP%]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5769366.393703125|mean:19231.22131234375
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[10.50 HP%]~[64.81 DEF]~[4.53 ER]~[6.22 CR]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[58.30 DEF%]~[11.66 ER]~[20.40 HP%]~[16.20 DEF]~[4.08 ATK%]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[31.10 CR]~[6.56 DEF%]~[14.76 CD]~[16.32 EM]~[22.02 ER]]|sum:5769972.865537501|mean:19233.242885125004
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[10.50 HP%]~[64.81 DEF]~[4.53 ER]~[6.22 CR]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[58.30 DEF%]~[11.66 ER]~[20.40 HP%]~[16.20 DEF]~[4.08 ATK%]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[31.10 CR]~[6.56 DEF%]~[14.76 CD]~[16.32 EM]~[22.02 ER]]|sum:5800131.689568751|mean:19333.7722985625
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[10.50 HP%]~[64.81 DEF]~[4.53 ER]~[6.22 CR]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[58.30 DEF%]~[11.66 ER]~[20.40 HP%]~[16.20 DEF]~[4.08 ATK%]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[31.10 CR]~[6.56 DEF%]~[14.76 CD]~[16.32 EM]~[22.02 ER]]|sum:5802989.775225|mean:19343.299250750002
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[10.50 HP%]~[64.81 DEF]~[4.53 ER]~[6.22 CR]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[58.30 DEF%]~[11.66 ER]~[20.40 HP%]~[16.20 DEF]~[4.08 ATK%]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[31.10 CR]~[6.56 DEF%]~[14.76 CD]~[16.32 EM]~[22.02 ER]]|sum:5771730.176296875|mean:19239.10058765625
