best_fitness:27198.298790625005|best_individual:[[4780.00 HP]~[6.56 DEF%]~[9.33 ATK%]~[13.99 HP%]~[44.29 EM]-[311.00 ATK]~[14.58 DEF%]~[5.83 CR]~[5.44 CD]~[15.74 HP%]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5790429.4076625|mean:19301.431358874997
best_fitness:27198.298790625005|best_individual:[[4780.00 HP]~[6.56 DEF%]~[9.33 ATK%]~[13.99 HP%]~[44.29 EM]-[311.00 ATK]~[14.58 DEF%]~[5.83 CR]~[5.44 CD]~[15.74 HP%]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5801987.860940626|mean:19339.959536468752
best_fitness:27198.298790625005|best_individual:[[4780.00 HP]~[6.56 DEF%]~[9.33 ATK%]~[13.99 HP%]~[44.29 EM]-[311.00 ATK]~[14.58 DEF%]~[5.83 CR]~[5.44 CD]~[15.74 HP%]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5788871.085571876|mean:19296.236951906252
best_fitness:27235.054659375|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[58.28 EM]~[10.49 ATK%]~[3.89 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5828614.319240626|mean:19428.714397468753
best_fitness:27235.054659375|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[58.28 EM]~[10.49 ATK%]~[3.89 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5864275.116590626|mean:19547.583721968753
best_fitness:27235.054659375|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[58.28 EM]~[10.49 ATK%]~[3.89 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5816322.649753125|mean:19387.742165843752
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5800556.916946875|mean:19335.18972315625
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5809259.819456251|mean:19364.199398187506
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5780267.043675|mean:19267.55681225
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5778562.965553125|mean:19261.87655184375
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5785875.482268751|mean:19286.251607562503
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5785885.621818751|mean:19286.285406062503
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5814300.4432500005|mean:19381.0014775
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5821798.640475|mean:19405.99546825
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5819625.6081656255|mean:19398.75202721875
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5776723.904671876|mean:19255.746348906254
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5784217.032121875|mean:19280.72344040625
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5774009.67388125|mean:19246.6989129375
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5785744.935562501|mean:19285.816451875
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5780907.102768751|mean:19269.690342562502
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5775638.3390999995|mean:19252.127796999997
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5799892.1427|mean:19332.973809
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5819929.16094375|mean:19399.7638698125
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5781327.260371875|mean:19271.09086790625
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5813728.1923968755|mean:19379.09397465625
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5813979.146259377|mean:19379.930487531255
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5804079.143128126|mean:19346.930477093752
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5807234.44434375|mean:19357.4481478125
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5767875.879853126|mean:19226.252932843752
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5758867.5234|mean:19196.225078
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5786111.860528126|mean:19287.039535093754
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5803829.456709376|mean:19346.09818903125
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5776145.9503218755|mean:19253.81983440625
best_fitness:27900.462628125002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 HP%]~[6.22 CR]~[18.22 DEF%]~[20.98 EM]~[39.35 DEF]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5788778.562178126|mean:19295.92854059375
