best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5802942.87980625|mean:19343.1429326875
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5807637.491456252|mean:19358.791638187504
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5846024.560312501|mean:19486.748534375005
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5875565.505515626|mean:19585.21835171875
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5853075.983615626|mean:19510.253278718752
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5856435.976996875|mean:19521.453256656252
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5836518.098465625|mean:19455.06032821875
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5858487.968428126|mean:19528.293228093753
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5888014.338028125|mean:19626.71446009375
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[24.87 CD]~[19.45 ATK]~[18.52 DEF]~[12.96 ER]-[46.60 HP%]~[5.83 DEF%]~[81.59 EM]~[12.31 ER]~[19.45 ATK]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5876504.0476125|mean:19588.346825375
