best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5730287.300559375|mean:19100.957668531253
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5715661.633406251|mean:19052.2054446875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5703225.475331251|mean:19010.7515844375
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5765257.341065627|mean:19217.524470218756
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[12.31 ER]~[62.94 EM]~[41.67 DEF]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5773033.108471875|mean:19243.44369490625
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[12.31 ER]~[62.94 EM]~[41.67 DEF]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5733474.921590626|mean:19111.583071968755
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[12.31 ER]~[62.94 EM]~[41.67 DEF]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5719403.761078126|mean:19064.679203593754
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[12.31 ER]~[62.94 EM]~[41.67 DEF]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5775840.496378126|mean:19252.801654593753
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.83 ATK%]~[30.61 DEF%]~[16.32 EM]~[5.25 HP%]-[311.00 ATK]~[64.81 DEF]~[11.66 DEF%]~[5.25 HP%]~[37.30 EM]-[46.60 ATK%]~[20.98 EM]~[10.11 CR]~[21.14 DEF%]~[4.66 HP%]-[46.60 Geo]~[35.01 ATK]~[8.74 ATK%]~[64.81 DEF]~[6.99 CD]-[187.00 EM]~[9.91 ATK%]~[11.08 HP%]~[10.36 ER]~[35.01 ATK]]|sum:5758202.749153125|mean:19194.00916384375
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[10.49 HP%]~[14.57 ATK%]~[46.30 DEF]~[5.83 ER]-[58.30 DEF%]~[46.30 DEF]~[9.91 ATK%]~[34.97 EM]~[11.08 HP%]-[46.60 Electro]~[5.83 HP%]~[4.66 ATK%]~[25.51 DEF%]~[13.98 CD]-[187.00 EM]~[32.40 DEF]~[20.41 DEF%]~[13.21 CD]~[3.50 CR]]|sum:5774637.058537501|mean:19248.790195125002
