best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[9.91 HP%]~[23.31 EM]~[6.61 CR]~[64.81 DEF]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Pyro]~[19.45 ATK]~[11.01 ER]~[14.57 HP%]~[9.91 ATK%]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3231379.7442383463|mean:10771.26581412782
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3208195.8774987496|mean:10693.986258329165
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3211580.7839355287|mean:10705.269279785096
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3176318.4706703355|mean:10587.728235567785
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3163397.5540896095|mean:10544.658513632032
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3195683.761112348|mean:10652.279203707827
best_fitness:20523.136420231283|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Hydro]~[7.00 CR]~[37.30 EM]~[17.49 ER]~[4.08 ATK%]-[62.20 CD]~[8.74 ATK%]~[18.52 DEF]~[13.85 DEF%]~[8.94 CR]]|sum:3231245.602417534|mean:10770.818674725115
best_fitness:20776.108455151538|best_individual:[[4780.00 HP]~[13.21 CD]~[10.20 DEF%]~[19.45 ATK]~[11.28 CR]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[17.87 CD]~[34.72 DEF]~[3.11 CR]~[44.29 EM]-[46.60 Pyro]~[6.22 CR]~[5.83 DEF%]~[36.96 ATK]~[17.88 CD]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:3219346.6236976776|mean:10731.155412325592
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.21 CD]~[10.20 DEF%]~[19.45 ATK]~[11.28 CR]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[16.20 DEF]~[4.08 ATK%]~[16.84 ER]~[15.74 HP%]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:3237086.589051371|mean:10790.288630171237
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.12 DEF%]~[33.07 ATK]~[55.95 EM]~[4.08 ATK%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[9.91 HP%]~[11.66 CD]~[8.94 CR]~[23.15 DEF]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:3236246.1278303554|mean:10787.487092767851
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.12 DEF%]~[33.07 ATK]~[55.95 EM]~[4.08 ATK%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[9.91 HP%]~[11.66 CD]~[8.94 CR]~[23.15 DEF]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:3219682.3494828013|mean:10732.274498276005
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.12 DEF%]~[33.07 ATK]~[55.95 EM]~[4.08 ATK%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[9.91 HP%]~[11.66 CD]~[8.94 CR]~[23.15 DEF]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:3225428.171371204|mean:10751.427237904012
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.12 DEF%]~[33.07 ATK]~[55.95 EM]~[4.08 ATK%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[9.91 HP%]~[11.66 CD]~[8.94 CR]~[23.15 DEF]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:3233254.3678650176|mean:10777.514559550058
best_fitness:20789.13315090939|best_individual:[[4780.00 HP]~[13.12 DEF%]~[33.07 ATK]~[55.95 EM]~[4.08 ATK%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[9.91 HP%]~[11.66 CD]~[8.94 CR]~[23.15 DEF]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:3244639.899733654|mean:10815.466332445514
best_fitness:20892.74752317818|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[5.83 ER]~[7.78 CR]~[10.20 DEF%]~[13.99 HP%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.22 CR]~[5.83 DEF%]~[36.96 ATK]~[17.88 CD]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3218629.547899065|mean:10728.76515966355
best_fitness:20892.74752317818|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[5.83 ER]~[7.78 CR]~[10.20 DEF%]~[13.99 HP%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.22 CR]~[5.83 DEF%]~[36.96 ATK]~[17.88 CD]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3205627.6579988096|mean:10685.425526662699
