best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5804555.068256251|mean:19348.5168941875
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5827607.968903125|mean:19425.35989634375
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5800836.388293751|mean:19336.121294312503
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5797102.499006251|mean:19323.674996687503
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5786282.965434375|mean:19287.60988478125
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5841831.856387501|mean:19472.772854625004
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5862437.323153125|mean:19541.45774384375
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5835120.108009376|mean:19450.400360031254
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5812787.749134376|mean:19375.959163781252
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5815471.561275001|mean:19384.90520425
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5847449.1670875|mean:19491.497223625
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5873088.28670625|mean:19576.9609556875
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5865534.321956251|mean:19551.781073187503
best_fitness:27531.002775000008|best_individual:[[4780.00 HP]~[60.61 EM]~[7.29 DEF%]~[20.83 DEF]~[15.16 ATK%]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[58.30 DEF%]~[11.66 ER]~[5.44 CD]~[43.98 DEF]~[9.33 CR]-[46.60 Hydro]~[34.97 EM]~[46.69 ATK]~[10.49 ATK%]~[16.20 DEF]-[46.60 ATK%]~[7.00 CR]~[37.30 EM]~[10.88 CD]~[13.85 DEF%]]|sum:5869043.8737|mean:19563.479579000003
