best_fitness:21459.63367066234|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[16.20 DEF]~[14.57 ATK%]~[7.29 DEF%]~[13.99 HP%]]|sum:3260725.5322403153|mean:10869.085107467718
best_fitness:22263.81866205965|best_individual:[[4780.00 HP]~[7.78 CR]~[23.31 EM]~[13.21 CD]~[21.87 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3253967.2798534515|mean:10846.557599511505
best_fitness:22263.81866205965|best_individual:[[4780.00 HP]~[7.78 CR]~[23.31 EM]~[13.21 CD]~[21.87 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3303521.382365047|mean:11011.737941216823
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[9.33 CR]~[13.21 CD]~[11.66 ATK%]~[5.83 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3233219.3029342387|mean:10777.397676447463
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[9.33 CR]~[13.21 CD]~[11.66 ATK%]~[5.83 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3234676.737504145|mean:10782.255791680484
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3186757.0395112224|mean:10622.523465037408
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3204196.286842011|mean:10680.65428947337
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3239413.753083946|mean:10798.045843613154
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3230327.084505489|mean:10767.75694835163
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3281170.2617786787|mean:10937.23420592893
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3304415.4897207636|mean:11014.718299069213
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3262047.7779943747|mean:10873.492593314582
best_fitness:22873.11261441511|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[51.80 ER]~[19.45 ATK]~[7.00 CR]~[10.50 HP%]~[15.74 ATK%]-[46.60 ATK%]~[37.30 EM]~[6.48 ER]~[24.10 CD]~[7.29 DEF%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:3268754.0023871|mean:10895.846674623666
