best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3206059.51769947|mean:10686.865058998234
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3227503.248096267|mean:10758.34416032089
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3273497.7402104186|mean:10911.65913403473
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3283249.722991798|mean:10944.165743305994
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3307315.8283268493|mean:11024.38609442283
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3313810.8488941058|mean:11046.036162980352
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3308781.733251863|mean:11029.272444172877
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3308013.995863457|mean:11026.713319544857
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3327543.3137890915|mean:11091.81104596364
best_fitness:22330.86609639662|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:3303986.279748721|mean:11013.287599162404
